Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0004-3.tif (RGB),P21-42-V1,red channel puncta,2881,19.26067338,97.58104825,141.9729261,115.8563164,green channel puncta,4557,9.376344086,125.2804477,172.5740619,148.9909643,blue channel puncta,-,-,-,-,-,colocalized puncta,955,25.56753927,110.7680628,165.6460733,135.7617123
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0004-4.tif (RGB),P21-42-V1,red channel puncta,3101,20.95388584,106.6688165,150.6510803,125.268135,green channel puncta,5439,10.47067476,109.0639823,161.6674021,132.9429697,blue channel puncta,-,-,-,-,-,colocalized puncta,1245,28.57550201,107.2156627,165.1216867,132.9292869
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0004-5.tif (RGB),P21-42-V1,red channel puncta,2792,19.13932665,124.1891117,166.9025788,143.9064646,green channel puncta,5725,12.04209607,93.8419214,146.9381659,115.8555317,blue channel puncta,-,-,-,-,-,colocalized puncta,1309,27.61764706,108.2860963,166.2398778,133.7892067
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-1.tif (RGB),P21-42-V1,red channel puncta,2785,19.97558348,78.37845601,119.6287253,94.13226476,green channel puncta,5588,9.977630637,123.9665354,175.5780243,150.1333075,blue channel puncta,-,-,-,-,-,colocalized puncta,1105,42.20542986,100.3434389,158.1764706,125.3422408
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-2.tif (RGB),P21-42-V1,red channel puncta,2620,19.0110687,86.52137405,128.4549618,102.8665099,green channel puncta,5377,9.692393528,122.0543054,174.2307978,148.0521795,blue channel puncta,-,-,-,-,-,colocalized puncta,938,33.23773987,103.4418977,161.7857143,128.8141768
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-3.tif (RGB),P21-42-V1,red channel puncta,2579,18.89957348,95.71772005,139.1993021,113.2609906,green channel puncta,5217,9.475752348,119.5008626,172.6325474,145.2521662,blue channel puncta,-,-,-,-,-,colocalized puncta,941,30.02816153,106.9075452,164.0632306,132.0162842
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-4.tif (RGB),P21-42-V1,red channel puncta,3033,21.89845038,100.5578635,144.8941642,118.7559319,green channel puncta,4342,8.896361124,121.3818517,172.5895901,146.0502716,blue channel puncta,-,-,-,-,-,colocalized puncta,984,34.32876016,110.179878,168.265752,135.6232799
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-5.tif (RGB),P21-42-V1,red channel puncta,2449,18.95916701,125.0910576,166.4426296,144.2182883,green channel puncta,4859,10.14385676,103.6324347,157.1638197,126.7054659,blue channel puncta,-,-,-,-,-,colocalized puncta,926,27.96436285,113.6328294,169.6987041,138.6302274
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-1.tif (RGB),P21-42-V1,red channel puncta,3052,20.41349934,74.26867628,116.1592398,89.99551477,green channel puncta,4295,8.800232829,122.7087311,179.1417928,150.6587766,blue channel puncta,-,-,-,-,-,colocalized puncta,944,32.07891949,97.76747881,157.4380297,123.0349654
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-2.tif (RGB),P21-42-V1,red channel puncta,3086,20.33538561,75.26928062,117.3992223,91.16726078,green channel puncta,4878,9.150471505,117.0530955,175.2332923,145.2029123,blue channel puncta,-,-,-,-,-,colocalized puncta,1041,26.6364073,95.37175793,157.0067243,121.3911289
