Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0004-3.tif (RGB),P42-65 V1,red channel puncta,2848,20.32514045,80.59199438,122.159059,96.50347542,green channel puncta,2954,8.277251185,163.4756263,192.3270142,181.2395951,blue channel puncta,-,-,-,-,-,colocalized puncta,621,64.53784219,121.2141707,168.7608696,142.1942371
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0004-4.tif (RGB),P42-65 V1,red channel puncta,2979,20.27559584,80.55253441,122.2302786,96.38572881,green channel puncta,3181,8.491040553,158.7463062,191.9453002,178.5378367,blue channel puncta,-,-,-,-,-,colocalized puncta,729,42.83333333,118.8113855,167.5075446,140.5330973
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0004-5.tif (RGB),P42-65 V1,red channel puncta,2481,17.76340185,91.79645304,134.2720677,108.6172637,green channel puncta,3129,8.428251838,160.7104506,191.8139981,179.3415784,blue channel puncta,-,-,-,-,-,colocalized puncta,557,36.53141831,125.0861759,171.9362657,146.9547191
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-1.tif (RGB),P42-65 V1,red channel puncta,2357,16.71998303,92.71404328,131.462028,108.0657024,green channel puncta,3292,7.984507898,146.8301944,189.4878493,171.0782535,blue channel puncta,-,-,-,-,-,colocalized puncta,588,24.06972789,118.6377551,166.8562925,141.5251077
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-2.tif (RGB),P42-65 V1,red channel puncta,2259,18.85214697,100.7525454,140.4311642,116.9438716,green channel puncta,2491,7.305499799,154.2019269,192.3484544,176.3680436,blue channel puncta,-,-,-,-,-,colocalized puncta,471,35.06369427,126.0095541,173.8333333,149.1013905
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-3.tif (RGB),P42-65 V1,red channel puncta,2102,19.12226451,114.9804948,151.6831589,131.0900828,green channel puncta,4363,9.448544579,116.1544809,175.0529452,144.0970699,blue channel puncta,-,-,-,-,-,colocalized puncta,679,51.74963181,114.5139912,170.0081001,140.0366183
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-4.tif (RGB),P42-65 V1,red channel puncta,2338,21.06073567,129.9165954,160.1449957,144.5132063,green channel puncta,4467,10.13364674,105.0474591,163.8974703,131.047643,blue channel puncta,-,-,-,-,-,colocalized puncta,833,44.80492197,116.4687875,168.3907563,140.3064042
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0005-5.tif (RGB),P42-65 V1,red channel puncta,2432,20.41858553,148.7652138,169.0250822,159.9259563,green channel puncta,4044,11.19485658,96.46686449,151.0032146,119.1818567,blue channel puncta,-,-,-,-,-,colocalized puncta,904,38.57411504,121.6664823,165.0464602,141.1427723
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-1.tif (RGB),P42-65 V1,red channel puncta,3165,18.9235387,69.3178515,104.2723539,82.23720878,green channel puncta,4151,8.992291014,126.3582269,180.5502289,154.5671707,blue channel puncta,-,-,-,-,-,colocalized puncta,973,26.94501542,97.06217883,150.7574512,120.9372443
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0006-2.tif (RGB),P42-65 V1,red channel puncta,2503,18.20015981,78.41390332,113.8593688,91.83886765,green channel puncta,4927,9.681347676,110.0596712,172.0426223,139.4335624,blue channel puncta,-,-,-,-,-,colocalized puncta,1025,30.22243902,93.41170732,152.1804878,118.3601265
