Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0004-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2022,21.89861523,95.01780415,123.5207715,106.1856269,green channel puncta,4885,14.70235415,82.31013306,132.7414534,103.2102808,blue channel puncta,-,-,-,-,-,colocalized puncta,1021,40.55386876,87.98285994,137.9216454,107.5805647
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0004-3.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2464,22.44602273,95.01663961,123.6643669,106.2163718,green channel puncta,3348,11.74044205,95.9432497,145.3010753,117.5250763,blue channel puncta,-,-,-,-,-,colocalized puncta,863,43.00521437,94.88644264,144.2676709,114.9889084
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0004-4.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2419,21.97106242,101.06821,131.3939644,112.9484891,green channel puncta,3691,12.53427255,90.71579518,140.5732864,112.0373045,blue channel puncta,-,-,-,-,-,colocalized puncta,940,32.7787234,95.32606383,145.6319149,115.4419363
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0004-5.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2581,22.74079814,104.9825649,136.2115459,117.3121171,green channel puncta,3984,14.02208835,90.52384538,144.5,113.5588441,blue channel puncta,-,-,-,-,-,colocalized puncta,1096,35.5310219,97.13458029,150.567062,118.6709875
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0005-1.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2767,25.56198048,87.90820383,119.5702927,100.0212642,green channel puncta,3821,12.73750327,99.02276891,147.9275059,121.2906776,blue channel puncta,-,-,-,-,-,colocalized puncta,1089,40.9513315,92.82782369,143.8585859,113.8806494
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0005-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2308,21.0177643,96.12564991,127.4211438,108.5589272,green channel puncta,3629,12.07936071,96.05704051,146.3582254,118.4292025,blue channel puncta,-,-,-,-,-,colocalized puncta,858,31.50582751,95.54370629,146.3980186,116.667879
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0005-3.tif (RGB),V2 Vglut1 PSD95,red channel puncta,3090,24.75372168,91.93559871,123.8682848,104.2436515,green channel puncta,3901,12.64957703,91.79543707,142.3237631,113.3998285,blue channel puncta,-,-,-,-,-,colocalized puncta,1244,39.18930868,91.33802251,143.1969453,111.7976494
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0005-4.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2657,23.90063982,101.1117802,132.9115544,113.7301334,green channel puncta,4000,13.256,88.5155,138.80125,109.8163817,blue channel puncta,-,-,-,-,-,colocalized puncta,1179,40.57379135,94.19677693,145.8346056,114.7743128
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0005-5.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2324,20.5869191,111.2168675,141.7336489,123.9173314,green channel puncta,3366,13.01455734,94.5389186,145.8098633,116.7569622,blue channel puncta,-,-,-,-,-,colocalized puncta,775,35.45225806,102.1935484,153.463871,123.8632736
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0006-1.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2576,26.76009317,90.97942547,122.9984472,103.2507586,green channel puncta,4526,12.50662837,101.3466637,147.6683606,123.0296716,blue channel puncta,-,-,-,-,-,colocalized puncta,1361,70.9665687,95.44966936,144.8894195,115.9663543
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0006-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2706,25.30155211,91.99630451,123.9120473,104.2655005,green channel puncta,3097,10.31804973,105.8388763,152.7626736,127.516598,blue channel puncta,-,-,-,-,-,colocalized puncta,934,43.92023555,98.11777302,148.8977516,118.9338129
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0006-3.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2082,19.19308357,107.1724304,138.3381364,119.9696786,green channel puncta,2533,9.556652191,107.7966838,154.343861,129.3112723,blue channel puncta,-,-,-,-,-,colocalized puncta,646,31.13003096,106.8126935,154.3010836,127.2172915
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0006-4.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2635,22.97874763,104.1309298,136.8094877,117.3413414,green channel puncta,3579,10.87789885,93.86588433,141.6384465,114.2226742,blue channel puncta,-,-,-,-,-,colocalized puncta,1040,39.75144231,98.31153846,149.2913462,118.7152922
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0006-5.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2253,19.21171771,119.4021305,150.9782512,133.1638336,green channel puncta,3655,11.79781122,93.68974008,145.405472,115.7370187,blue channel puncta,-,-,-,-,-,colocalized puncta,1010,28.42772277,105.8905941,155.5787129,126.8966866
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0007-1.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2342,24.13193851,77.66310845,100.676345,86.15950461,green channel puncta,3375,11.2797037,75.08207407,119.2797037,93.11574777,blue channel puncta,-,-,-,-,-,colocalized puncta,812,45.09051724,75.79248768,120.2413793,91.84465818
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0007-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2650,23.56301887,81.71509434,106.0720755,90.83110449,green channel puncta,3602,11.64880622,67.55552471,108.3917268,83.81298098,blue channel puncta,-,-,-,-,-,colocalized puncta,952,42.22741597,74.19537815,118.845063,90.00966948
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0007-3.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2112,18.99100379,94.92945076,120.1964962,104.6957646,green channel puncta,3118,12.52212957,69.49454779,112.533034,86.6823532,blue channel puncta,-,-,-,-,-,colocalized puncta,686,32.5451895,81.80466472,127.7769679,98.58116778
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0007-4.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2383,19.86067982,94.94460764,121.2706672,105.0745554,green channel puncta,5081,16.08856524,68.18303484,138.3398937,97.18362711,blue channel puncta,-,-,-,-,-,colocalized puncta,1215,33.65884774,80.90617284,142.4868313,104.657064
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0007-5.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2015,21.05359801,70.78461538,93.45806452,79.32323836,green channel puncta,3592,13.11442094,86.58017817,172.9359688,126.4422216,blue channel puncta,-,-,-,-,-,colocalized puncta,938,30.7238806,77.97547974,141.6620469,106.0384235
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0008-1.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2336,28.72559932,62.53082192,82.53895548,69.73769535,green channel puncta,3606,11.67193566,81.16084304,125.8740987,99.63486315,blue channel puncta,-,-,-,-,-,colocalized puncta,807,90.57372986,71.42379182,116.5693928,87.36234417
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0008-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2529,24.81376038,70.58956109,91.96322657,78.4841736,green channel puncta,3603,10.98362476,72.81959478,113.3530391,89.20514685,blue channel puncta,-,-,-,-,-,colocalized puncta,760,55.83157895,71.35657895,115.1039474,86.95397826
