Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0004-3.tif (RGB),P42-65 V2,red channel puncta,2539,26.33674675,112.1599055,169.3335959,136.9511437,green channel puncta,3653,7.514919244,77.68847523,126.5187517,97.71963244,blue channel puncta,-,-,-,-,-,colocalized puncta,772,29.27007772,94.42487047,156.3056995,120.6944198
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0004-4.tif (RGB),P42-65 V2,red channel puncta,2298,24.95387293,117.3263708,173.7741514,142.2026561,green channel puncta,4155,8.160048135,78.05318893,123.8336943,96.47545093,blue channel puncta,-,-,-,-,-,colocalized puncta,808,29.76299505,97.16893564,157.8131188,122.9168343
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0004-5.tif (RGB),P42-65 V2,red channel puncta,2250,28.49822222,105.108,166.4826667,130.5533957,green channel puncta,4366,9.516491067,77.31745305,119.510765,93.82127298,blue channel puncta,-,-,-,-,-,colocalized puncta,956,35.65899582,90.50941423,154.4529289,116.2410366
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0005-1.tif (RGB),P42-65 V2,red channel puncta,2841,26.06969377,94.39845125,157.217881,119.9600298,green channel puncta,4258,10.95796148,81.92883983,133.2534054,102.2998559,blue channel puncta,-,-,-,-,-,colocalized puncta,1131,34.91688771,87.62068966,159.1790451,115.6837733
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0005-2.tif (RGB),P42-65 V2,red channel puncta,2830,25.77243816,89.28763251,152.0678445,114.1674094,green channel puncta,3273,10.25939505,91.48579285,142.5728689,112.370186,blue channel puncta,-,-,-,-,-,colocalized puncta,881,31.36833144,89.84335982,161.2922815,117.8872291
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0005-3.tif (RGB),P42-65 V2,red channel puncta,2577,23.69654637,93.14823438,152.8839736,117.0058602,green channel puncta,3387,10.79362267,97.9276646,145.9961618,117.6910771,blue channel puncta,-,-,-,-,-,colocalized puncta,806,30.22828784,94.85918114,163.2971464,121.9139098
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0005-4.tif (RGB),P42-65 V2,red channel puncta,2713,29.89347586,78.66863251,138.5938076,101.0629244,green channel puncta,3291,11.76147068,112.1370404,161.4311759,133.2210959,blue channel puncta,-,-,-,-,-,colocalized puncta,955,44.75706806,94.62827225,165.2335079,121.3087711
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0005-5.tif (RGB),P42-65 V2,red channel puncta,2556,26.63302034,75.71596244,133.821205,97.49532148,green channel puncta,3101,10.84521122,134.0019349,183.1712351,157.1161073,blue channel puncta,-,-,-,-,-,colocalized puncta,836,36.61244019,104.1369617,171.6148325,131.0527843
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0006-1.tif (RGB),P42-65 V2,red channel puncta,2679,26.73945502,99.3225084,162.5938783,125.9442676,green channel puncta,3550,9.781126761,86.26338028,137.9588732,107.329721,blue channel puncta,-,-,-,-,-,colocalized puncta,870,30.48850575,92.52183908,162.5649425,121.48703
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0006-2.tif (RGB),P42-65 V2,red channel puncta,2613,23.94948335,99.47531573,159.6222732,124.5529279,green channel puncta,3417,9.960491659,89.23997659,138.8680129,109.5587641,blue channel puncta,-,-,-,-,-,colocalized puncta,732,29.07103825,93.91803279,162.3722678,122.1927621
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0006-3.tif (RGB),P42-65 V2,red channel puncta,2227,21.49528514,106.6829816,164.7031881,131.3147623,green channel puncta,3266,10.72627067,98.0263319,148.2060625,118.652892,blue channel puncta,-,-,-,-,-,colocalized puncta,600,27.9725,101.7258333,169.8883333,129.9402954
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0006-4.tif (RGB),P42-65 V2,red channel puncta,2603,28.07760277,86.91893968,147.23204,110.4475592,green channel puncta,3134,11.3401404,110.1445437,159.531589,131.2440487,blue channel puncta,-,-,-,-,-,colocalized puncta,813,43.01107011,97.80073801,168.2103321,125.7615109
