Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0004-3.tif (RGB),P21-42 V2,red channel puncta,2268,23.86507937,134.8544974,187.2839506,160.5645865,green channel puncta,3056,8.076897906,106.7729058,164.7385471,132.8942685,blue channel puncta,-,-,-,-,-,colocalized puncta,482,24.60165975,120.1182573,182.2188797,150.5988899
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0004-4.tif (RGB),P21-42 V2,red channel puncta,2804,35.68616262,103.2300285,167.1872325,130.5818215,green channel puncta,4492,9.834594835,92.70747996,149.167854,116.2648917,blue channel puncta,-,-,-,-,-,colocalized puncta,1173,49.77237852,97.24808184,169.0660699,128.0179044
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0004-5.tif (RGB),P21-42 V2,red channel puncta,2676,35.67563528,101.0003737,165.1580717,127.6974727,green channel puncta,4643,10.30691363,94.49256946,146.8752961,116.1020652,blue channel puncta,-,-,-,-,-,colocalized puncta,1275,51.01019608,97.00862745,167.1988235,126.231647
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0005-1.tif (RGB),P21-42 V2,red channel puncta,2256,25.43351064,117.7163121,176.1480496,144.2960905,green channel puncta,4829,9.517912611,97.45620211,155.6581073,123.0352782,blue channel puncta,-,-,-,-,-,colocalized puncta,855,29.06432749,107.3473684,174.6883041,138.1568201
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0005-2.tif (RGB),P21-42 V2,red channel puncta,2471,27.9490085,108.3035208,169.8992311,134.6766087,green channel puncta,4242,8.872701556,101.7918435,158.6914191,126.9901793,blue channel puncta,-,-,-,-,-,colocalized puncta,812,32.75554187,104.6496305,173.7081281,135.0383254
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0005-3.tif (RGB),P21-42 V2,red channel puncta,2281,28.34546252,110.1928979,171.1407278,136.365124,green channel puncta,4561,9.710809033,100.2523569,154.8721772,123.6906807,blue channel puncta,-,-,-,-,-,colocalized puncta,856,35.64193925,104.6203271,172.890771,134.6895643
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0005-4.tif (RGB),P21-42 V2,red channel puncta,2267,31.06131451,101.9603,165.8425232,128.3147947,green channel puncta,4747,10.79460712,98.27090794,150.1708447,119.8467584,blue channel puncta,-,-,-,-,-,colocalized puncta,1024,40.13720703,99.31933594,168.9946289,127.7270363
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0005-5.tif (RGB),P21-42 V2,red channel puncta,2461,32.3929297,77.70702966,143.4672897,102.5474417,green channel puncta,3952,10.63031377,99.76341093,160.9228239,126.1028484,blue channel puncta,-,-,-,-,-,colocalized puncta,1250,41.8592,88.1436,168.4168,119.7350956
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0006-1.tif (RGB),P21-42 V2,red channel puncta,2456,31.75407166,115.7797231,182.879886,147.3135173,green channel puncta,4305,9.439488966,96.74146341,159.5586527,124.0455206,blue channel puncta,-,-,-,-,-,colocalized puncta,967,36.33350569,105.9638056,181.3660807,141.266927
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0006-2.tif (RGB),P21-42 V2,red channel puncta,2423,31.18241849,112.616591,179.4036319,142.8476411,green channel puncta,3832,8.812108559,98.13517745,158.1978079,123.9610545,blue channel puncta,-,-,-,-,-,colocalized puncta,781,34.53713188,105.184379,179.262484,138.7483766
